ticker,date,open,high,low,close,volume
AACB,2005-09-27,,,,,
AACB,2005-09-28,,,,,
AACB,2005-09-29,,,,,
AACB,2005-09-30,,,,,
AACB,2005-10-03,,,,,
AACB,2005-10-04,,,,,
AACB,2005-10-05,,,,,
AACB,2005-10-06,,,,,
AACB,2005-10-07,,,,,
AACB,2005-10-10,,,,,
AACB,2005-10-11,,,,,
AACB,2005-10-12,,,,,
AACB,2005-10-13,,,,,
AACB,2005-10-14,,,,,
AACB,2005-10-17,,,,,
AACB,2005-10-18,,,,,
AACB,2005-10-19,,,,,
AACB,2005-10-20,,,,,
AACB,2005-10-21,,,,,
AACB,2005-10-24,,,,,
AACB,2005-10-25,,,,,
AACB,2005-10-26,,,,,
AACB,2005-10-27,,,,,
AACB,2005-10-28,,,,,
AACB,2005-10-31,,,,,
AACB,2005-11-01,,,,,
AACB,2005-11-02,,,,,
AACB,2005-11-03,,,,,
AACB,2005-11-04,,,,,
AACB,2005-11-07,,,,,
AACB,2005-11-08,,,,,
AACB,2005-11-09,,,,,
AACB,2005-11-10,,,,,
AACB,2005-11-11,,,,,
AACB,2005-11-14,,,,,
AACB,2005-11-15,,,,,
AACB,2005-11-16,,,,,
AACB,2005-11-17,,,,,
AACB,2005-11-18,,,,,
AACB,2005-11-21,,,,,
AACB,2005-11-22,,,,,
AACB,2005-11-23,,,,,
AACB,2005-11-25,,,,,
AACB,2005-11-28,,,,,
AACB,2005-11-29,,,,,
AACB,2005-11-30,,,,,
AACB,2005-12-01,,,,,
AACB,2005-12-02,,,,,
AACB,2005-12-05,,,,,
AACB,2005-12-06,,,,,
AACB,2005-12-07,,,,,
AACB,2005-12-08,,,,,
AACB,2005-12-09,,,,,
AACB,2005-12-12,,,,,
AACB,2005-12-13,,,,,
AACB,2005-12-14,,,,,
AACB,2005-12-15,,,,,
AACB,2005-12-16,,,,,
AACB,2005-12-19,,,,,
AACB,2005-12-20,,,,,
AACB,2005-12-21,,,,,
AACB,2005-12-22,,,,,
AACB,2005-12-23,,,,,
AACB,2005-12-27,,,,,
AACB,2005-12-28,,,,,
AACB,2005-12-29,,,,,
AACB,2005-12-30,,,,,
AACB,2006-01-03,,,,,
AACB,2006-01-04,,,,,
AACB,2006-01-05,,,,,
AACB,2006-01-06,,,,,
AACB,2006-01-09,,,,,
AACB,2006-01-10,,,,,
AACB,2006-01-11,,,,,
AACB,2006-01-12,,,,,
AACB,2006-01-13,,,,,
AACB,2006-01-17,,,,,
AACB,2006-01-18,,,,,
AACB,2006-01-19,,,,,
AACB,2006-01-20,,,,,
AACB,2006-01-23,,,,,
AACB,2006-01-24,,,,,
AACB,2006-01-25,,,,,
AACB,2006-01-26,,,,,
AACB,2006-01-27,,,,,
AACB,2006-01-30,,,,,
AACB,2006-01-31,,,,,
AACB,2006-02-01,,,,,
AACB,2006-02-02,,,,,
AACB,2006-02-03,,,,,
AACB,2006-02-06,,,,,
AACB,2006-02-07,,,,,
AACB,2006-02-08,,,,,
AACB,2006-02-09,,,,,
AACB,2006-02-10,,,,,
AACB,2006-02-13,,,,,
AACB,2006-02-14,,,,,
AACB,2006-02-15,,,,,
AACB,2006-02-16,,,,,
AACB,2006-02-17,,,,,
AACB,2006-02-21,,,,,
AACB,2006-02-22,,,,,
AACB,2006-02-23,,,,,
AACB,2006-02-24,,,,,
AACB,2006-02-27,,,,,
AACB,2006-02-28,,,,,
AACB,2006-03-01,,,,,
AACB,2006-03-02,,,,,
AACB,2006-03-03,,,,,
AACB,2006-03-06,,,,,
AACB,2006-03-07,,,,,
AACB,2006-03-08,,,,,
AACB,2006-03-09,,,,,
AACB,2006-03-10,,,,,
AACB,2006-03-13,,,,,
AACB,2006-03-14,,,,,
AACB,2006-03-15,,,,,
AACB,2006-03-16,,,,,
AACB,2006-03-17,,,,,
AACB,2006-03-20,,,,,
AACB,2006-03-21,,,,,
AACB,2006-03-22,,,,,
AACB,2006-03-23,,,,,
AACB,2006-03-24,,,,,
AACB,2006-03-27,,,,,
AACB,2006-03-28,,,,,
AACB,2006-03-29,,,,,
AACB,2006-03-30,,,,,
AACB,2006-03-31,,,,,
AACB,2006-04-03,,,,,
AACB,2006-04-04,,,,,
AACB,2006-04-05,,,,,
AACB,2006-04-06,,,,,
AACB,2006-04-07,,,,,
AACB,2006-04-10,,,,,
AACB,2006-04-11,,,,,
AACB,2006-04-12,,,,,
AACB,2006-04-13,,,,,
AACB,2006-04-17,,,,,
AACB,2006-04-18,,,,,
AACB,2006-04-19,,,,,
AACB,2006-04-20,,,,,
AACB,2006-04-21,,,,,
AACB,2006-04-24,,,,,
AACB,2006-04-25,,,,,
AACB,2006-04-26,,,,,
AACB,2006-04-27,,,,,
AACB,2006-04-28,,,,,
AACB,2006-05-01,,,,,
AACB,2006-05-02,,,,,
AACB,2006-05-03,,,,,
AACB,2006-05-04,,,,,
AACB,2006-05-05,,,,,
AACB,2006-05-08,,,,,
AACB,2006-05-09,,,,,
AACB,2006-05-10,,,,,
AACB,2006-05-11,,,,,
AACB,2006-05-12,,,,,
AACB,2006-05-15,,,,,
AACB,2006-05-16,,,,,
AACB,2006-05-17,,,,,
AACB,2006-05-18,,,,,
AACB,2006-05-19,,,,,
AACB,2006-05-22,,,,,
AACB,2006-05-23,,,,,
AACB,2006-05-24,,,,,
AACB,2006-05-25,,,,,
AACB,2006-05-26,,,,,
AACB,2006-05-30,,,,,
AACB,2006-05-31,,,,,
AACB,2006-06-01,,,,,
AACB,2006-06-02,,,,,
AACB,2006-06-05,,,,,
AACB,2006-06-06,,,,,
AACB,2006-06-07,,,,,
AACB,2006-06-08,,,,,
AACB,2006-06-09,,,,,
AACB,2006-06-12,,,,,
AACB,2006-06-13,,,,,
AACB,2006-06-14,,,,,
AACB,2006-06-15,,,,,
AACB,2006-06-16,,,,,
AACB,2006-06-19,,,,,
AACB,2006-06-20,,,,,
AACB,2006-06-21,,,,,
AACB,2006-06-22,,,,,
AACB,2006-06-23,,,,,
AACB,2006-06-26,,,,,
AACB,2006-06-27,,,,,
AACB,2006-06-28,,,,,
AACB,2006-06-29,,,,,
AACB,2006-06-30,,,,,
AACB,2006-07-03,,,,,
AACB,2006-07-05,,,,,
AACB,2006-07-06,,,,,
AACB,2006-07-07,,,,,
AACB,2006-07-10,,,,,
AACB,2006-07-11,,,,,
AACB,2006-07-12,,,,,
AACB,2006-07-13,,,,,
AACB,2006-07-14,,,,,
AACB,2006-07-17,,,,,
AACB,2006-07-18,,,,,
AACB,2006-07-19,,,,,
AACB,2006-07-20,,,,,
AACB,2006-07-21,,,,,
AACB,2006-07-24,,,,,
AACB,2006-07-25,,,,,
AACB,2006-07-26,,,,,
AACB,2006-07-27,,,,,
AACB,2006-07-28,,,,,
AACB,2006-07-31,,,,,
AACB,2006-08-01,,,,,
AACB,2006-08-02,,,,,
AACB,2006-08-03,,,,,
AACB,2006-08-04,,,,,
AACB,2006-08-07,,,,,
AACB,2006-08-08,,,,,
AACB,2006-08-09,,,,,
AACB,2006-08-10,,,,,
AACB,2006-08-11,,,,,
AACB,2006-08-14,,,,,
AACB,2006-08-15,,,,,
AACB,2006-08-16,,,,,
AACB,2006-08-17,,,,,
AACB,2006-08-18,,,,,
AACB,2006-08-21,,,,,
AACB,2006-08-22,,,,,
AACB,2006-08-23,,,,,
AACB,2006-08-24,,,,,
AACB,2006-08-25,,,,,
AACB,2006-08-28,,,,,
AACB,2006-08-29,,,,,
AACB,2006-08-30,,,,,
AACB,2006-08-31,,,,,
AACB,2006-09-01,,,,,
AACB,2006-09-05,,,,,
AACB,2006-09-06,,,,,
AACB,2006-09-07,,,,,
AACB,2006-09-08,,,,,
AACB,2006-09-11,,,,,
AACB,2006-09-12,,,,,
AACB,2006-09-13,,,,,
AACB,2006-09-14,,,,,
AACB,2006-09-15,,,,,
AACB,2006-09-18,,,,,
AACB,2006-09-19,,,,,
AACB,2006-09-20,,,,,
AACB,2006-09-21,,,,,
AACB,2006-09-22,,,,,
AACB,2006-09-25,,,,,
